Gravity:,X,,,,,,
Grid #,Type,X[m],Y[m],Z[m],RX[rad],RY[rad],Rz[rad]
100000,G,3.2206E-04,-1.2067E-06,1.9507E-08,-1.9627E-07,1.6374E-05,-6.8948E-05
100001,G,2.9791E-04,-1.2028E-06,8.6730E-08,-1.9080E-07,2.5920E-05,-6.9657E-05
100002,G,3.4680E-04,-1.2021E-06,-5.0920E-08,-2.0675E-07,7.0572E-06,-6.9167E-05
100003,G,2.9118E-04,-1.2004E-06,1.0564E-07,-1.9101E-07,2.9479E-05,-7.0126E-05
100004,G,3.5391E-04,-1.1990E-06,-7.1922E-08,-2.1213E-07,4.0129E-06,-6.9428E-05
100005,G,3.5035E-04,-1.2029E-06,-6.1541E-08,-2.0766E-07,5.5618E-06,-6.9284E-05
100006,G,2.9453E-04,-1.1995E-06,9.7037E-08,-1.9246E-07,2.7617E-05,-6.9869E-05
100007,G,3.2031E-04,-1.2082E-06,2.4005E-08,-1.9534E-07,1.7000E-05,-6.8967E-05
100008,G,3.2382E-04,-1.2050E-06,1.4973E-08,-1.9742E-07,1.5748E-05,-6.8934E-05
100009,G,2.8784E-04,-1.2001E-06,1.1468E-07,-1.9159E-07,3.1549E-05,-7.0438E-05
100010,G,3.5746E-04,-1.1960E-06,-8.2568E-08,-2.1606E-07,2.4091E-06,-6.9598E-05
100011,G,3.1857E-04,-1.2096E-06,2.8501E-08,-1.9379E-07,1.7627E-05,-6.8990E-05
100012,G,3.2557E-04,-1.2036E-06,1.0344E-08,-1.9884E-07,1.5120E-05,-6.8924E-05
100013,G,2.7322E-04,-1.1925E-06,1.6223E-07,-2.6361E-07,4.4887E-05,-7.3018E-05
100014,G,3.7334E-04,-1.1835E-06,-1.3273E-07,-2.2594E-07,-5.3919E-06,-7.0743E-05
100015,G,2.7481E-04,-1.1938E-06,1.5582E-07,-2.3383E-07,4.2929E-05,-7.2590E-05
100016,G,3.7159E-04,-1.1849E-06,-1.2699E-07,-2.3215E-07,-4.5474E-06,-7.0604E-05
100017,G,2.7641E-04,-1.1953E-06,1.4979E-07,-2.2877E-07,4.1188E-05,-7.2216E-05
100018,G,3.6983E-04,-1.1861E-06,-1.2126E-07,-2.2661E-07,-3.5923E-06,-7.0438E-05
100019,G,3.1682E-04,-1.2107E-06,3.3003E-08,-1.9300E-07,1.8257E-05,-6.9017E-05
100020,G,3.2733E-04,-1.2022E-06,5.6328E-09,-1.9984E-07,1.4489E-05,-6.8919E-05
100021,G,2.7963E-04,-1.1982E-06,1.3844E-07,-2.0870E-07,3.7974E-05,-7.1571E-05
100022,G,3.6632E-04,-1.1880E-06,-1.1004E-07,-2.2433E-07,-1.8355E-06,-7.0162E-05
