Gravity:,Y,,,,,,
Grid #,Type,X[m],Y[m],Z[m],RX[rad],RY[rad],Rz[rad]
115000,G,4.7350E-06,-3.7251E-04,-2.3340E-05,-5.4831E-05,-3.9383E-06,-1.5926E-06
115001,G,4.7577E-06,-3.7272E-04,-2.3246E-05,-5.4990E-05,-3.6251E-06,-1.5682E-06
115002,G,4.6818E-06,-3.7247E-04,-2.2066E-05,-5.5062E-05,-4.3182E-06,-1.5965E-06
115003,G,4.7064E-06,-3.7269E-04,-2.1963E-05,-5.5200E-05,-4.0210E-06,-1.5688E-06
115004,G,4.7287E-06,-3.7290E-04,-2.1867E-05,-5.5236E-05,-3.7179E-06,-1.5601E-06
115005,G,4.7868E-06,-3.7253E-04,-2.4618E-05,-5.4691E-05,-3.5543E-06,-1.5944E-06
115006,G,4.8083E-06,-3.7273E-04,-2.4534E-05,-5.4796E-05,-3.2280E-06,-1.5749E-06
115007,G,4.7785E-06,-3.7292E-04,-2.3160E-05,-5.5066E-05,-3.3313E-06,-1.5594E-06
115008,G,4.7490E-06,-3.7310E-04,-2.1779E-05,-5.5337E-05,-3.4081E-06,-1.5473E-06
115009,G,4.6268E-06,-3.7240E-04,-2.0796E-05,-5.5298E-05,-4.7116E-06,-1.6077E-06
115010,G,4.6536E-06,-3.7263E-04,-2.0684E-05,-5.5419E-05,-4.3887E-06,-1.5727E-06
115011,G,4.6779E-06,-3.7286E-04,-2.0578E-05,-5.5455E-05,-4.1073E-06,-1.5632E-06
115012,G,4.6998E-06,-3.7307E-04,-2.0481E-05,-5.5574E-05,-3.7905E-06,-1.5443E-06
115013,G,4.7195E-06,-3.7327E-04,-2.0391E-05,-5.5638E-05,-3.4882E-06,-1.5365E-06
115014,G,4.8387E-06,-3.7252E-04,-2.5902E-05,-5.4581E-05,-3.1333E-06,-1.5892E-06
115015,G,4.8590E-06,-3.7270E-04,-2.5829E-05,-5.4652E-05,-2.8326E-06,-1.5710E-06
115016,G,4.8281E-06,-3.7291E-04,-2.4458E-05,-5.4906E-05,-2.9278E-06,-1.5571E-06
115017,G,4.7976E-06,-3.7310E-04,-2.3081E-05,-5.5144E-05,-3.0061E-06,-1.5464E-06
115018,G,4.7674E-06,-3.7328E-04,-2.1698E-05,-5.5427E-05,-3.0924E-06,-1.5360E-06
115019,G,4.7372E-06,-3.7345E-04,-2.0308E-05,-5.5709E-05,-3.1616E-06,-1.5262E-06
