Gravity:,Z,,,,,,
Grid #,Type,X[m],Y[m],Z[m],RX[rad],RY[rad],Rz[rad]
105000,G,5.0030E-07,-6.5673E-06,-3.7483E-05,1.7325E-05,1.6736E-05,1.3497E-06
105001,G,2.5894E-07,-6.5259E-06,-3.8097E-05,1.7544E-05,1.0984E-05,9.7281E-07
105002,G,9.5986E-07,-6.6956E-06,-3.5666E-05,1.7412E-05,2.6475E-05,1.9161E-06
105003,G,8.5186E-07,-6.6351E-06,-3.6291E-05,1.6976E-05,2.4194E-05,1.7376E-06
105004,G,6.6946E-07,-6.5930E-06,-3.6984E-05,1.6960E-05,2.0550E-05,1.5918E-06
105005,G,4.1377E-07,-6.5256E-06,-3.7877E-05,1.6902E-05,1.4849E-05,1.2176E-06
105006,G,5.7470E-07,-6.5436E-06,-3.7468E-05,1.6580E-05,1.8379E-05,1.4383E-06
105007,G,4.8494E-07,-6.4980E-06,-3.7903E-05,1.6269E-05,1.6523E-05,1.3101E-06
105008,G,3.9981E-07,-6.4570E-06,-3.8288E-05,1.5989E-05,1.4466E-05,1.1513E-06
105009,G,3.3048E-07,-6.4886E-06,-3.8222E-05,1.6492E-05,1.2891E-05,1.0994E-06
105010,G,2.5040E-07,-6.4555E-06,-3.8520E-05,1.6393E-05,1.1002E-05,9.6151E-07
105011,G,1.8090E-07,-6.4964E-06,-3.8351E-05,1.7248E-05,9.3790E-06,8.9097E-07
105012,G,1.7333E-07,-6.4274E-06,-3.8769E-05,1.6289E-05,9.0526E-06,8.0011E-07
105013,G,1.0391E-07,-6.4720E-06,-3.8559E-05,1.7101E-05,7.3233E-06,6.9050E-07
105014,G,1.2727E-06,-6.7612E-06,-3.4338E-05,1.7538E-05,3.2336E-05,2.0130E-06
105015,G,1.0504E-06,-6.6908E-06,-3.5418E-05,1.7165E-05,2.8224E-05,1.9157E-06
105016,G,1.1424E-06,-6.6906E-06,-3.5119E-05,1.7144E-05,2.9815E-05,1.8274E-06
