,Point ID,,X,Y,Z
GRID,100000,,0.00000E+00,0.00000E+00,5.07079E-01
GRID,100001,,5.04459E-01,2.91249E-01,4.51986E-01
GRID,100002,,5.19010E-01,2.64449E-01,4.51986E-01
GRID,100003,,5.53989E-01,1.80002E-01,4.51986E-01
GRID,100004,,5.62651E-01,1.50762E-01,4.51986E-01
GRID,100005,,5.47913E-01,1.78028E-01,4.51986E-01
GRID,100006,,5.69770E-01,1.21108E-01,4.51986E-01
GRID,100007,,5.56480E-01,1.49108E-01,4.51986E-01
GRID,100008,,5.81701E-01,3.04856E-02,4.51986E-01
GRID,100009,,5.82499E-01,2.5462-8,4.51986E-01
GRID,100010,,5.63521E-01,1.19780E-01,4.51986E-01
GRID,100011,,5.75320E-01,3.01513E-02,4.51986E-01
GRID,100012,,5.81701E-01,-3.04850E-02,4.51986E-01
GRID,100013,,5.76110E-01,2.5183-8,4.51986E-01
GRID,100014,,5.69770E-01,-1.21108E-01,4.51986E-01
GRID,100015,,5.62651E-01,-1.50762E-01,4.51986E-01
GRID,100016,,5.75320E-01,-3.01510E-02,4.51986E-01
GRID,100017,,5.63521E-01,-1.19780E-01,4.51986E-01
GRID,100018,,5.53989E-01,-1.80002E-01,4.51986E-01
GRID,100019,,5.56480E-01,-1.49108E-01,4.51986E-01
GRID,100020,,5.19010E-01,-2.64449E-01,4.51986E-01
GRID,100021,,5.04459E-01,-2.91249E-01,4.51986E-01
GRID,100022,,5.47913E-01,-1.78028E-01,4.51986E-01
GRID,100023,,5.13318E-01,-2.61548E-01,4.51986E-01
GRID,100024,,4.88525E-01,-3.17252E-01,4.51986E-01
GRID,100025,,4.98926E-01,-2.88055E-01,4.51986E-01
GRID,100026,,4.83167E-01,-3.13772E-01,4.51986E-01
GRID,100027,,5.13318E-01,2.61548E-01,4.51986E-01
GRID,100028,,4.88525E-01,3.17252E-01,4.51986E-01
GRID,100029,,4.98926E-01,2.88055E-01,4.51986E-01
GRID,100030,,4.83167E-01,3.13772E-01,4.51986E-01
GRID,100031,,4.28133E-01,-3.85493E-01,4.51986E-01
GRID,100032,,4.32881E-01,-3.89768E-01,4.51986E-01
GRID,100033,,4.28133E-01,3.85493E-01,4.51986E-01
GRID,100034,,4.32881E-01,3.89768E-01,4.51986E-01
GRID,100035,,5.26303E-01,2.34325E-01,4.51986E-01
GRID,100036,,5.37845E-01,2.06459E-01,4.51986E-01
GRID,100037,,5.32139E-01,2.36924E-01,4.51986E-01
GRID,100038,,5.43809E-01,2.08749E-01,4.51986E-01
GRID,100039,,5.18893E-01,2.31026E-01,4.51986E-01
GRID,100040,,5.30273E-01,2.03553E-01,4.51986E-01
GRID,100041,,5.40199E-01,1.75521E-01,4.51986E-01
GRID,100042,,5.48645E-01,1.47009E-01,4.51986E-01
GRID,100043,,5.69017E-01,9.01235E-02,4.51986E-01
GRID,100044,,5.72954E-01,6.02199E-02,4.51986E-01
GRID,100045,,5.75328E-01,9.11229E-02,4.51986E-01
GRID,100046,,5.79308E-01,6.08876E-02,4.51986E-01
GRID,100047,,5.55587E-01,1.18094E-01,4.51986E-01
GRID,100048,,5.61006E-01,8.88546E-02,4.51986E-01
GRID,100049,,5.64888E-01,5.93721E-02,4.51986E-01
GRID,100050,,5.67220E-01,2.97267E-02,4.51986E-01
GRID,100051,,5.67999E-01,-1.70400E+01,4.51986E-01
GRID,100052,,5.72954E-01,-6.02190E-02,4.51986E-01
GRID,100053,,5.69017E-01,-9.01230E-02,4.51986E-01
GRID,100054,,5.79308E-01,-6.08870E-02,4.51986E-01
GRID,100055,,5.75327E-01,-9.11220E-02,4.51986E-01
GRID,100056,,5.67220E-01,-2.97260E-02,4.51986E-01
GRID,100057,,5.64887E-01,-5.93720E-02,4.51986E-01
GRID,100058,,5.61006E-01,-8.88540E-02,4.51986E-01
GRID,100059,,5.55587E-01,-1.18094E-01,4.51986E-01
GRID,100060,,5.48645E-01,-1.47009E-01,4.51986E-01
GRID,100061,,5.37845E-01,-2.06459E-01,4.51986E-01
GRID,100062,,5.26303E-01,-2.34325E-01,4.51986E-01
GRID,100063,,5.43810E-01,-2.08749E-01,4.51986E-01
GRID,100064,,5.32139E-01,-2.36924E-01,4.51986E-01
GRID,100065,,5.40199E-01,-1.75521E-01,4.51986E-01
GRID,100066,,5.30272E-01,-2.03553E-01,4.51986E-01
GRID,100067,,5.18893E-01,-2.31026E-01,4.51986E-01
GRID,100068,,5.06091E-01,-2.57866E-01,4.51986E-01
GRID,100069,,4.91902E-01,-2.83999E-01,4.51986E-01
GRID,100070,,4.66083E-01,-3.38629E-01,4.51986E-01
GRID,100071,,4.47722E-01,-3.62558E-01,4.51986E-01
