Case =,Cold,,,,,,
Grid #,Type,X[m],Y[m],Z[m],RX[rad],RY[rad],Rz[rad]
100000,G,-2.1816E-06,2.1576E-05,4.9784E-04,2.1169E-05,2.1027E-07,-4.1563E-07
100001,G,-2.3203E-06,2.6187E-05,4.9027E-04,2.0223E-05,1.3643E-07,-4.1263E-07
100002,G,-2.0337E-06,1.6043E-05,5.0509E-04,2.2118E-05,2.8224E-07,-4.1253E-07
100003,G,-2.3590E-06,2.7344E-05,4.8806E-04,1.9850E-05,1.0481E-07,-4.0891E-07
100004,G,-1.9890E-06,1.4279E-05,5.0711E-04,2.2469E-05,3.1081E-07,-4.0911E-07
100005,G,-2.0119E-06,1.5172E-05,5.0610E-04,2.2278E-05,3.0199E-07,-4.1018E-07
100006,G,-2.3392E-06,2.6774E-05,4.8917E-04,2.0056E-05,1.1554E-07,-4.1019E-07
100007,G,-2.1921E-06,2.1935E-05,4.9731E-04,2.1109E-05,2.0548E-07,-4.1562E-07
100008,G,-2.1710E-06,2.1212E-05,4.9837E-04,2.1230E-05,2.1822E-07,-4.1558E-07
100009,G,-2.3784E-06,2.7898E-05,4.8695E-04,1.9620E-05,9.3116E-08,-4.0728E-07
100010,G,-1.9659E-06,1.3363E-05,5.0811E-04,2.2671E-05,3.2078E-07,-4.0771E-07
100011,G,-2.2025E-06,2.2290E-05,4.9678E-04,2.1050E-05,2.0221E-07,-4.1561E-07
100012,G,-2.1605E-06,2.0843E-05,4.9889E-04,2.1289E-05,2.1933E-07,-4.1557E-07
100013,G,-2.4643E-06,3.0204E-05,4.8196E-04,1.8165E-05,1.3035E-07,-4.2785E-07
100014,G,-1.8590E-06,8.9344E-06,5.1258E-04,2.3439E-05,2.7081E-07,-4.3326E-07
100015,G,-2.4551E-06,2.9962E-05,4.8251E-04,1.8349E-05,2.2166E-08,-3.9066E-07
100016,G,-1.8710E-06,9.4540E-06,5.1209E-04,2.3444E-05,3.8201E-07,-3.9330E-07
100017,G,-2.4456E-06,2.9710E-05,4.8306E-04,1.8712E-05,7.1306E-08,-4.0370E-07
100018,G,-1.8831E-06,9.9718E-06,5.1160E-04,2.3188E-05,3.3538E-07,-4.0609E-07
100019,G,-2.2128E-06,2.2639E-05,4.9624E-04,2.0988E-05,1.9248E-07,-4.1544E-07
100020,G,-2.1499E-06,2.0469E-05,4.9942E-04,2.1351E-05,2.3005E-07,-4.1535E-07
100021,G,-2.4268E-06,2.9211E-05,4.8417E-04,1.8958E-05,7.1102E-08,-4.0327E-07
100022,G,-1.9069E-06,1.0969E-05,5.1061E-04,2.3127E-05,3.3775E-07,-4.0474E-07
100023,G,-2.4173E-06,2.8957E-05,4.8473E-04,1.9080E-05,7.1213E-08,-4.0343E-07
100024,G,-1.9186E-06,1.1460E-05,5.1012E-04,2.3082E-05,3.3845E-07,-4.0461E-07
100025,G,-2.4079E-06,2.8698E-05,4.8528E-04,1.9239E-05,7.6357E-08,-4.0445E-07
100026,G,-2.2231E-06,2.2985E-05,4.9571E-04,2.0927E-05,1.8884E-07,-4.1538E-07
100027,G,-1.9303E-06,1.1944E-05,5.0962E-04,2.2958E-05,3.3439E-07,-4.0542E-07
100028,G,-2.1393E-06,2.0091E-05,4.9994E-04,2.1413E-05,2.3315E-07,-4.1528E-07
100029,G,-2.3984E-06,2.8435E-05,4.8584E-04,1.9365E-05,8.6175E-08,-4.0635E-07
100030,G,-1.9419E-06,1.2422E-05,5.0912E-04,2.2879E-05,3.2542E-07,-4.0715E-07
100031,G,-2.3889E-06,2.8169E-05,4.8639E-04,1.9505E-05,8.7638E-08,-4.0642E-07
100032,G,-1.9534E-06,1.2895E-05,5.0862E-04,2.2758E-05,3.2478E-07,-4.0710E-07
100033,G,-2.2333E-06,2.3326E-05,4.9517E-04,2.0864E-05,1.8560E-07,-4.1534E-07
100034,G,-2.1287E-06,1.9708E-05,5.0046E-04,2.1476E-05,2.3645E-07,-4.1520E-07
100035,G,-2.2434E-06,2.3662E-05,4.9463E-04,2.0804E-05,1.7825E-07,-4.1508E-07
100036,G,-2.1181E-06,1.9320E-05,5.0098E-04,2.1538E-05,2.4371E-07,-4.1491E-07
100037,G,-2.3699E-06,2.7624E-05,4.8750E-04,1.9731E-05,1.0293E-07,-4.0878E-07
100038,G,-1.9762E-06,1.3822E-05,5.0761E-04,2.2571E-05,3.1176E-07,-4.0911E-07
100039,G,-2.2534E-06,2.3993E-05,4.9409E-04,2.0734E-05,1.7737E-07,-4.1514E-07
100040,G,-2.1075E-06,1.8928E-05,5.0150E-04,2.1608E-05,2.4421E-07,-4.1497E-07
100041,G,-2.3509E-06,2.7062E-05,4.8861E-04,1.9936E-05,1.2086E-07,-4.1117E-07
100042,G,-1.9987E-06,1.4725E-05,5.0661E-04,2.2389E-05,2.9561E-07,-4.1129E-07
100043,G,-2.2634E-06,2.4321E-05,4.9355E-04,2.0673E-05,1.6000E-07,-4.1409E-07
100044,G,-2.0968E-06,1.8530E-05,5.0202E-04,2.1670E-05,2.6140E-07,-4.1390E-07
100045,G,-2.3317E-06,2.6483E-05,4.8972E-04,2.0124E-05,1.1813E-07,-4.1041E-07
100046,G,-2.0209E-06,1.5610E-05,5.0559E-04,2.2212E-05,2.9999E-07,-4.1035E-07
100047,G,-2.2733E-06,2.4643E-05,4.9301E-04,2.0601E-05,1.6429E-07,-4.1452E-07
100048,G,-2.0861E-06,1.8128E-05,5.0253E-04,2.1742E-05,2.5686E-07,-4.1432E-07
100049,G,-2.2832E-06,2.4961E-05,4.9246E-04,2.0536E-05,1.5944E-07,-4.1428E-07
100050,G,-2.0753E-06,1.7721E-05,5.0305E-04,2.1809E-05,2.6132E-07,-4.1408E-07
100051,G,-2.3124E-06,2.5888E-05,4.9082E-04,2.0298E-05,1.5018E-07,-4.1402E-07
100052,G,-2.0428E-06,1.6468E-05,5.0458E-04,2.2043E-05,2.6928E-07,-4.1386E-07
100053,G,-2.2930E-06,2.5274E-05,4.9192E-04,2.0453E-05,1.4625E-07,-4.1320E-07
100054,G,-2.0645E-06,1.7308E-05,5.0356E-04,2.1890E-05,2.7418E-07,-4.1300E-07
