Case =,Hot,,,,,,
Grid #,Type,X[m],Y[m],Z[m],RX[rad],RY[rad],Rz[rad]
100000,G,2.9651E-05,1.6549E-06,1.1417E-04,4.8640E-06,1.2964E-05,-1.6945E-05
100001,G,2.4008E-05,2.7186E-06,1.1243E-04,4.6109E-06,1.2829E-05,-1.6940E-05
100002,G,3.5858E-05,3.7941E-07,1.1584E-04,5.1162E-06,1.3096E-05,-1.6938E-05
100003,G,2.2498E-05,2.9861E-06,1.1193E-04,4.5126E-06,1.2785E-05,-1.6935E-05
100004,G,3.7737E-05,-2.7505E-08,1.1631E-04,5.2080E-06,1.3138E-05,-1.6933E-05
100005,G,3.6791E-05,1.7796E-07,1.1607E-04,5.1585E-06,1.3118E-05,-1.6935E-05
100006,G,2.3247E-05,2.8548E-06,1.1218E-04,4.5664E-06,1.2806E-05,-1.6938E-05
100007,G,2.9229E-05,1.7373E-06,1.1404E-04,4.8477E-06,1.2955E-05,-1.6945E-05
100008,G,3.0076E-05,1.5714E-06,1.1429E-04,4.8803E-06,1.2974E-05,-1.6945E-05
100009,G,2.1761E-05,3.1139E-06,1.1168E-04,4.4526E-06,1.2763E-05,-1.6933E-05
100010,G,3.8696E-05,-2.3847E-07,1.1654E-04,5.2604E-06,1.3158E-05,-1.6930E-05
100011,G,2.8810E-05,1.8187E-06,1.1392E-04,4.8319E-06,1.2946E-05,-1.6945E-05
100012,G,3.0503E-05,1.4868E-06,1.1441E-04,4.8962E-06,1.2983E-05,-1.6945E-05
100013,G,1.8591E-05,3.6497E-06,1.1055E-04,4.0699E-06,1.2672E-05,-1.6919E-05
100014,G,4.3162E-05,-1.2615E-06,1.1758E-04,5.4722E-06,1.3247E-05,-1.6919E-05
100015,G,1.8932E-05,3.5930E-06,1.1067E-04,4.1159E-06,1.2672E-05,-1.6916E-05
100016,G,4.2651E-05,-1.1413E-06,1.1747E-04,5.4685E-06,1.3258E-05,-1.6912E-05
100017,G,1.9275E-05,3.5341E-06,1.1079E-04,4.2086E-06,1.2684E-05,-1.6919E-05
100018,G,4.2146E-05,-1.0215E-06,1.1735E-04,5.4046E-06,1.3234E-05,-1.6917E-05
100019,G,2.8394E-05,1.8991E-06,1.1380E-04,4.8151E-06,1.2936E-05,-1.6945E-05
100020,G,3.0934E-05,1.4010E-06,1.1453E-04,4.9130E-06,1.2993E-05,-1.6945E-05
100021,G,1.9969E-05,3.4180E-06,1.1104E-04,4.2775E-06,1.2706E-05,-1.6923E-05
100022,G,4.1147E-05,-7.9078E-07,1.1712E-04,5.3825E-06,1.3212E-05,-1.6921E-05
100023,G,2.0321E-05,3.3587E-06,1.1117E-04,4.3103E-06,1.2718E-05,-1.6926E-05
100024,G,4.0651E-05,-6.7741E-07,1.1700E-04,5.3683E-06,1.3201E-05,-1.6923E-05
100025,G,2.0676E-05,3.2985E-06,1.1130E-04,4.3526E-06,1.2729E-05,-1.6927E-05
100026,G,2.7980E-05,1.9785E-06,1.1368E-04,4.7987E-06,1.2927E-05,-1.6945E-05
100027,G,4.0158E-05,-5.6535E-07,1.1689E-04,5.3362E-06,1.3190E-05,-1.6925E-05
100028,G,3.1367E-05,1.3141E-06,1.1465E-04,4.9295E-06,1.3002E-05,-1.6944E-05
100029,G,2.1034E-05,3.2375E-06,1.1142E-04,4.3855E-06,1.2742E-05,-1.6929E-05
100030,G,3.9668E-05,-4.5481E-07,1.1677E-04,5.3147E-06,1.3178E-05,-1.6927E-05
100031,G,2.1396E-05,3.1756E-06,1.1155E-04,4.4224E-06,1.2752E-05,-1.6931E-05
100032,G,3.9182E-05,-3.4564E-07,1.1666E-04,5.2837E-06,1.3168E-05,-1.6928E-05
100033,G,2.7570E-05,2.0568E-06,1.1355E-04,4.7818E-06,1.2918E-05,-1.6945E-05
100034,G,3.1804E-05,1.2260E-06,1.1477E-04,4.9464E-06,1.3011E-05,-1.6944E-05
100035,G,2.7162E-05,2.1341E-06,1.1343E-04,4.7655E-06,1.2908E-05,-1.6945E-05
100036,G,3.2243E-05,1.1368E-06,1.1489E-04,4.9630E-06,1.3021E-05,-1.6944E-05
100037,G,2.2127E-05,3.0492E-06,1.1180E-04,4.4820E-06,1.2775E-05,-1.6934E-05
100038,G,3.8217E-05,-1.3141E-07,1.1642E-04,5.2345E-06,1.3147E-05,-1.6932E-05
100039,G,2.6758E-05,2.2105E-06,1.1330E-04,4.7468E-06,1.2899E-05,-1.6944E-05
100040,G,3.2685E-05,1.0465E-06,1.1501E-04,4.9816E-06,1.3029E-05,-1.6943E-05
100041,G,2.2869E-05,2.9191E-06,1.1205E-04,4.5356E-06,1.2798E-05,-1.6937E-05
100042,G,3.7266E-05,7.7344E-08,1.1619E-04,5.1868E-06,1.3125E-05,-1.6935E-05
100043,G,2.6356E-05,2.2858E-06,1.1318E-04,4.7305E-06,1.2887E-05,-1.6944E-05
100044,G,3.3130E-05,9.5496E-07,1.1513E-04,4.9981E-06,1.3041E-05,-1.6942E-05
100045,G,2.3626E-05,2.7849E-06,1.1231E-04,4.5852E-06,1.2816E-05,-1.6939E-05
100046,G,3.6323E-05,2.8156E-07,1.1596E-04,5.1406E-06,1.3109E-05,-1.6936E-05
100047,G,2.5957E-05,2.3601E-06,1.1306E-04,4.7112E-06,1.2880E-05,-1.6944E-05
100048,G,3.3577E-05,8.6229E-07,1.1525E-04,5.0172E-06,1.3048E-05,-1.6942E-05
100049,G,2.5561E-05,2.4334E-06,1.1293E-04,4.6937E-06,1.2870E-05,-1.6943E-05
100050,G,3.4028E-05,7.6844E-07,1.1537E-04,5.0350E-06,1.3058E-05,-1.6941E-05
100051,G,2.4390E-05,2.6474E-06,1.1256E-04,4.6310E-06,1.2842E-05,-1.6941E-05
100052,G,3.5398E-05,4.7960E-07,1.1572E-04,5.0966E-06,1.3085E-05,-1.6939E-05
100053,G,2.5168E-05,2.5057E-06,1.1281E-04,4.6720E-06,1.2858E-05,-1.6942E-05
100054,G,3.4482E-05,6.7339E-07,1.1549E-04,5.0563E-06,1.3069E-05,-1.6940E-05
100055,G,2.4778E-05,2.5771E-06,1.1268E-04,4.6551E-06,1.2848E-05,-1.6942E-05
100056,G,3.4938E-05,5.7712E-07,1.1560E-04,5.0731E-06,1.3079E-05,-1.6940E-05
100057,G,4.1643E-05,-9.0864E-07,1.1723E-04,5.4228E-06,1.3229E-05,-1.6918E-05
100058,G,1.9622E-05,3.4799E-06,1.1092E-04,4.2201E-06,1.2693E-05,-1.6920E-05
100059,G,4.3081E-05,-1.6852E-06,1.1725E-04,5.4448E-06,1.3246E-05,-1.6866E-05
100060,G,1.8676E-05,4.0720E-06,1.1086E-04,4.0998E-06,1.2660E-05,-1.6865E-05
100061,G,4.2571E-05,-1.5642E-06,1.1713E-04,5.4419E-06,1.3206E-05,-1.6914E-05
100062,G,1.9017E-05,4.0142E-06,1.1099E-04,4.1384E-06,1.2683E-05,-1.6910E-05
100063,G,4.2065E-05,-1.4467E-06,1.1702E-04,5.3893E-06,1.3222E-05,-1.6920E-05
100064,G,1.9360E-05,3.9576E-06,1.1111E-04,4.2288E-06,1.2682E-05,-1.6920E-05
100065,G,4.1563E-05,-1.3300E-06,1.1691E-04,5.4118E-06,1.3197E-05,-1.6920E-05
100066,G,1.9706E-05,3.8997E-06,1.1124E-04,4.2288E-06,1.2704E-05,-1.6919E-05
100067,G,4.1064E-05,-1.2152E-06,1.1679E-04,5.3651E-06,1.3195E-05,-1.6922E-05
100068,G,2.0055E-05,3.8414E-06,1.1136E-04,4.2996E-06,1.2714E-05,-1.6922E-05
100069,G,4.0568E-05,-1.1018E-06,1.1667E-04,5.3605E-06,1.3183E-05,-1.6923E-05
100070,G,2.0407E-05,3.7821E-06,1.1149E-04,4.3170E-06,1.2727E-05,-1.6924E-05
100071,G,4.0075E-05,-9.9001E-07,1.1656E-04,5.3226E-06,1.3172E-05,-1.6925E-05
100072,G,2.0762E-05,3.7222E-06,1.1161E-04,4.3698E-06,1.2741E-05,-1.6927E-05
100073,G,3.9585E-05,-8.7959E-07,1.1644E-04,5.3044E-06,1.3163E-05,-1.6926E-05
100074,G,2.1120E-05,3.6613E-06,1.1174E-04,4.3953E-06,1.2752E-05,-1.6928E-05
100075,G,3.9099E-05,-7.7062E-07,1.1633E-04,5.2741E-06,1.3150E-05,-1.6928E-05
100076,G,2.1481E-05,3.5996E-06,1.1187E-04,4.4349E-06,1.2767E-05,-1.6931E-05
100077,G,2.1845E-05,3.5371E-06,1.1199E-04,4.4620E-06,1.2775E-05,-1.6932E-05
100078,G,3.8615E-05,-6.6303E-07,1.1621E-04,5.2509E-06,1.3144E-05,-1.6929E-05
100079,G,3.8135E-05,-5.5679E-07,1.1609E-04,5.2219E-06,1.3130E-05,-1.6932E-05
100080,G,2.2212E-05,3.4736E-06,1.1212E-04,4.4967E-06,1.2791E-05,-1.6934E-05
100081,G,3.7657E-05,-4.5181E-07,1.1598E-04,5.2012E-06,1.3122E-05,-1.6932E-05
100082,G,2.2583E-05,3.4091E-06,1.1225E-04,4.5196E-06,1.2800E-05,-1.6935E-05
100083,G,3.7183E-05,-3.4831E-07,1.1586E-04,5.1718E-06,1.3111E-05,-1.6934E-05
100084,G,2.2955E-05,3.3438E-06,1.1237E-04,4.5522E-06,1.2813E-05,-1.6937E-05
100085,G,3.0588E-05,1.9090E-06,1.1473E-04,4.9052E-06,1.2999E-05,-1.6945E-05
100086,G,2.8728E-05,1.3954E-06,1.1360E-04,4.8227E-06,1.2930E-05,-1.6945E-05
100087,G,3.6711E-05,-2.4597E-07,1.1574E-04,5.1547E-06,1.3101E-05,-1.6935E-05
100088,G,2.3331E-05,3.2774E-06,1.1250E-04,4.5704E-06,1.2823E-05,-1.6938E-05
100089,G,2.3710E-05,3.2101E-06,1.1263E-04,4.5998E-06,1.2834E-05,-1.6939E-05
100090,G,3.6243E-05,-1.4488E-07,1.1563E-04,5.1272E-06,1.3091E-05,-1.6937E-05
100091,G,3.5778E-05,-4.5089E-08,1.1551E-04,5.1061E-06,1.3083E-05,-1.6937E-05
100092,G,2.4091E-05,3.1419E-06,1.1275E-04,4.6213E-06,1.2843E-05,-1.6940E-05
100093,G,3.5315E-05,5.3513E-08,1.1539E-04,5.0853E-06,1.3072E-05,-1.6939E-05
100094,G,2.4476E-05,3.0726E-06,1.1288E-04,4.6432E-06,1.2855E-05,-1.6941E-05
100095,G,2.4863E-05,3.0022E-06,1.1300E-04,4.6618E-06,1.2866E-05,-1.6942E-05
100096,G,3.4855E-05,1.5092E-07,1.1527E-04,5.0667E-06,1.3061E-05,-1.6940E-05
100097,G,3.4399E-05,2.4711E-07,1.1516E-04,5.0441E-06,1.3052E-05,-1.6941E-05
100098,G,2.9569E-05,1.2306E-06,1.1384E-04,4.8549E-06,1.2950E-05,-1.6945E-05
100099,G,2.5253E-05,2.9310E-06,1.1313E-04,4.6849E-06,1.2876E-05,-1.6942E-05
100100,G,3.0160E-05,1.9941E-06,1.1461E-04,4.8899E-06,1.2989E-05,-1.6945E-05
100101,G,2.9147E-05,1.3135E-06,1.1372E-04,4.8381E-06,1.2940E-05,-1.6945E-05
100102,G,3.3945E-05,3.4212E-07,1.1504E-04,5.0273E-06,1.3043E-05,-1.6941E-05
100103,G,2.5646E-05,2.8587E-06,1.1325E-04,4.7015E-06,1.2885E-05,-1.6943E-05
100104,G,2.6043E-05,2.7853E-06,1.1338E-04,4.7224E-06,1.2895E-05,-1.6944E-05
100105,G,3.3495E-05,4.3601E-07,1.1492E-04,5.0065E-06,1.3034E-05,-1.6942E-05
100106,G,2.8312E-05,1.4758E-06,1.1348E-04,4.8055E-06,1.2922E-05,-1.6945E-05
100107,G,3.1018E-05,1.8231E-06,1.1485E-04,4.9225E-06,1.3007E-05,-1.6945E-05
100108,G,3.3047E-05,5.2873E-07,1.1480E-04,4.9898E-06,1.3023E-05,-1.6943E-05
100109,G,2.6441E-05,2.7110E-06,1.1350E-04,4.7389E-06,1.2906E-05,-1.6944E-05
100110,G,3.2602E-05,6.2030E-07,1.1468E-04,4.9712E-06,1.3016E-05,-1.6943E-05
100111,G,2.6843E-05,2.6356E-06,1.1363E-04,4.7575E-06,1.2913E-05,-1.6944E-05
100112,G,2.7899E-05,1.5555E-06,1.1335E-04,4.7893E-06,1.2911E-05,-1.6945E-05
100113,G,3.1452E-05,1.7360E-06,1.1497E-04,4.9387E-06,1.3017E-05,-1.6945E-05
100114,G,3.2160E-05,7.1076E-07,1.1456E-04,4.9543E-06,1.3006E-05,-1.6944E-05
100115,G,2.7488E-05,1.6340E-06,1.1323E-04,4.7723E-06,1.2901E-05,-1.6945E-05
100116,G,3.1888E-05,1.6477E-06,1.1509E-04,4.9558E-06,1.3027E-05,-1.6944E-05
100117,G,2.7248E-05,2.5591E-06,1.1375E-04,4.7741E-06,1.2924E-05,-1.6945E-05
100118,G,3.1721E-05,8.0016E-07,1.1444E-04,4.9365E-06,1.2997E-05,-1.6944E-05
100119,G,2.7656E-05,2.4816E-06,1.1388E-04,4.7920E-06,1.2933E-05,-1.6945E-05
100120,G,2.7081E-05,1.7115E-06,1.1311E-04,4.7558E-06,1.2892E-05,-1.6945E-05
100121,G,3.2327E-05,1.5583E-06,1.1521E-04,4.9724E-06,1.3036E-05,-1.6944E-05
100122,G,3.1285E-05,8.8835E-07,1.1432E-04,4.9203E-06,1.2987E-05,-1.6944E-05
100123,G,3.3214E-05,1.3762E-06,1.1545E-04,5.0082E-06,1.3052E-05,-1.6943E-05
100124,G,2.8066E-05,2.4031E-06,1.1400E-04,4.8079E-06,1.2943E-05,-1.6945E-05
100125,G,2.6274E-05,1.8634E-06,1.1286E-04,4.7200E-06,1.2875E-05,-1.6944E-05
100126,G,3.0852E-05,9.7545E-07,1.1420E-04,4.9034E-06,1.2977E-05,-1.6945E-05
100127,G,2.8479E-05,2.3235E-06,1.1412E-04,4.8248E-06,1.2952E-05,-1.6945E-05
100128,G,3.0421E-05,1.0615E-06,1.1408E-04,4.8871E-06,1.2969E-05,-1.6945E-05
100129,G,2.8895E-05,2.2429E-06,1.1425E-04,4.8409E-06,1.2961E-05,-1.6945E-05
100130,G,2.5875E-05,1.9377E-06,1.1274E-04,4.7027E-06,1.2862E-05,-1.6943E-05
100131,G,3.3662E-05,1.2835E-06,1.1557E-04,5.0256E-06,1.3065E-05,-1.6942E-05
100132,G,2.9993E-05,1.1465E-06,1.1396E-04,4.8708E-06,1.2958E-05,-1.6945E-05
100133,G,2.9314E-05,2.1611E-06,1.1437E-04,4.8573E-06,1.2971E-05,-1.6945E-05
100134,G,2.5086E-05,2.0835E-06,1.1249E-04,4.6635E-06,1.2844E-05,-1.6943E-05
100135,G,3.4566E-05,1.0945E-06,1.1581E-04,5.0645E-06,1.3082E-05,-1.6941E-05
100136,G,2.9735E-05,2.0785E-06,1.1449E-04,4.8731E-06,1.2980E-05,-1.6945E-05
100137,G,2.5480E-05,2.0110E-06,1.1261E-04,4.6823E-06,1.2852E-05,-1.6943E-05
100138,G,3.4112E-05,1.1897E-06,1.1569E-04,5.0458E-06,1.3075E-05,-1.6941E-05
100139,G,2.6676E-05,1.7878E-06,1.1298E-04,4.7376E-06,1.2881E-05,-1.6944E-05
100140,G,3.2769E-05,1.4681E-06,1.1533E-04,4.9907E-06,1.3046E-05,-1.6943E-05
100141,G,2.4696E-05,2.1547E-06,1.1236E-04,4.6434E-06,1.2834E-05,-1.6942E-05
100142,G,3.5023E-05,9.9833E-07,1.1593E-04,5.0842E-06,1.3092E-05,-1.6940E-05
100143,G,2.3544E-05,2.3626E-06,1.1199E-04,4.5767E-06,1.2804E-05,-1.6939E-05
100144,G,3.6408E-05,7.0278E-07,1.1628E-04,5.1489E-06,1.3121E-05,-1.6937E-05
100145,G,2.4308E-05,2.2250E-06,1.1224E-04,4.6225E-06,1.2821E-05,-1.6941E-05
100146,G,3.5483E-05,9.0086E-07,1.1605E-04,5.1047E-06,1.3104E-05,-1.6939E-05
100147,G,3.5943E-05,8.0273E-07,1.1616E-04,5.1274E-06,1.3113E-05,-1.6938E-05
100148,G,2.3925E-05,2.2941E-06,1.1211E-04,4.5990E-06,1.2811E-05,-1.6940E-05
100149,G,2.2787E-05,2.4964E-06,1.1173E-04,4.5277E-06,1.2780E-05,-1.6937E-05
100150,G,3.7351E-05,4.9887E-07,1.1652E-04,5.1947E-06,1.3143E-05,-1.6935E-05
100151,G,2.3165E-05,2.4298E-06,1.1186E-04,4.5536E-06,1.2792E-05,-1.6938E-05
100152,G,3.6877E-05,6.0188E-07,1.1640E-04,5.1703E-06,1.3132E-05,-1.6936E-05
100153,G,3.7823E-05,3.9576E-07,1.1663E-04,5.2198E-06,1.3152E-05,-1.6933E-05
100154,G,2.2416E-05,2.5616E-06,1.1161E-04,4.4996E-06,1.2771E-05,-1.6936E-05
100155,G,2.2045E-05,2.6263E-06,1.1148E-04,4.4730E-06,1.2759E-05,-1.6934E-05
100156,G,3.8302E-05,2.9034E-07,1.1675E-04,5.2436E-06,1.3163E-05,-1.6932E-05
100157,G,2.1679E-05,2.6897E-06,1.1136E-04,4.4404E-06,1.2749E-05,-1.6933E-05
100158,G,3.8781E-05,1.8451E-07,1.1687E-04,5.2715E-06,1.3173E-05,-1.6931E-05
100159,G,2.1313E-05,2.7526E-06,1.1123E-04,4.4122E-06,1.2738E-05,-1.6932E-05
