Case =,Nom,,,,,,
Grid #,Type,X[m],Y[m],Z[m],RX[rad],RY[rad],Rz[rad]
115000,G,2.34344E-05,4.4187E-06,0.000301754,1.3058E-05,8.7046E-06,-8.88415E-06
115001,G,2.31818E-05,4.23585E-06,0.000301569,1.26068E-05,8.26474E-06,-8.86471E-06
115002,G,2.34464E-05,4.86734E-06,0.000301652,1.26975E-05,9.50459E-06,-8.64763E-06
115003,G,2.31875E-05,4.68763E-06,0.000301466,1.24195E-05,7.9775E-06,-8.85806E-06
115004,G,2.29331E-05,4.50482E-06,0.00030128,1.27802E-05,8.91334E-06,-8.78773E-06
115005,G,2.34343E-05,3.96288E-06,0.000301856,1.31229E-05,9.2058E-06,-8.77733E-06
115006,G,2.31819E-05,3.78167E-06,0.000301668,1.3503E-05,8.16577E-06,-8.90676E-06
115007,G,2.29303E-05,4.05201E-06,0.000301383,1.22124E-05,8.73086E-06,-8.72076E-06
115008,G,2.26816E-05,4.31972E-06,0.000301095,1.30945E-05,8.14481E-06,-8.90707E-06
115009,G,2.34627E-05,5.30013E-06,0.000301549,1.28499E-05,9.11031E-06,-8.76033E-06
115010,G,2.32009E-05,5.12859E-06,0.000301362,1.26936E-05,8.54581E-06,-8.79284E-06
115011,G,2.29421E-05,4.95112E-06,0.000301176,1.293E-05,8.76311E-06,-8.8128E-06
115012,G,2.26872E-05,4.76916E-06,0.00030099,1.27092E-05,8.34794E-06,-8.84266E-06
115013,G,2.24353E-05,4.58406E-06,0.000300804,1.24889E-05,8.59923E-06,-8.78337E-06
115014,G,2.34346E-05,3.51065E-06,0.000301952,1.22844E-05,7.67806E-06,-8.79271E-06
115015,G,2.31796E-05,3.32463E-06,0.000301764,0.000013458,8.87322E-06,-8.73821E-06
115016,G,2.29293E-05,3.59613E-06,0.000301482,1.22349E-05,8.43016E-06,-8.7155E-06
115017,G,2.26796E-05,3.86513E-06,0.000301197,1.31557E-05,8.02031E-06,-8.89284E-06
115018,G,2.24315E-05,4.13194E-06,0.000300909,1.23709E-05,8.54087E-06,-8.75937E-06
115019,G,2.21855E-05,4.39593E-06,0.000300618,1.30705E-05,8.20599E-06,-8.87806E-06
115020,G,2.34708E-05,5.72931E-06,0.000301437,1.17866E-05,8.52515E-06,-8.77975E-06
115021,G,2.32131E-05,5.56004E-06,0.000301253,1.30532E-05,9.01492E-06,-8.864E-06
115022,G,2.29544E-05,5.38792E-06,0.000301068,1.2913E-05,8.54311E-06,-8.85792E-06
115023,G,2.26973E-05,5.21099E-06,0.000300882,1.26569E-05,8.66988E-06,-8.79998E-06
115024,G,2.24429E-05,5.02981E-06,0.000300696,1.28076E-05,8.48754E-06,-8.83905E-06
115025,G,2.2191E-05,4.84496E-06,0.00030051,1.29881E-05,8.46337E-06,-8.85711E-06
115026,G,2.19414E-05,4.65688E-06,0.000300324,1.254E-05,8.34799E-06,-8.81389E-06
115027,G,2.31782E-05,2.85316E-06,0.000301862,1.32082E-05,8.21334E-06,-8.89428E-06
115028,G,2.29282E-05,3.13223E-06,0.00030158,1.22925E-05,7.44994E-06,-8.87957E-06
115029,G,2.2679E-05,3.405E-06,0.000301297,1.30426E-05,7.9988E-06,-8.85714E-06
115030,G,2.24305E-05,3.67432E-06,0.000301012,1.25387E-05,8.3956E-06,-8.76651E-06
115031,G,2.21834E-05,3.94081E-06,0.000300723,1.28856E-05,8.02434E-06,-8.85936E-06
115032,G,2.19378E-05,4.20474E-06,0.000300432,1.26883E-05,8.33715E-06,-8.8112E-06
115033,G,2.1694E-05,4.46554E-06,0.000300138,1.28518E-05,8.23464E-06,-8.84511E-06
115034,G,2.3224E-05,5.99145E-06,0.000301136,1.40272E-05,8.48253E-06,-9.11819E-06
115035,G,2.29659E-05,5.81973E-06,0.000300954,1.27698E-05,8.82002E-06,-8.86216E-06
115036,G,2.27091E-05,5.64585E-06,0.00030077,1.27923E-05,8.56235E-06,-8.86224E-06
115037,G,2.24535E-05,5.46852E-06,0.000300586,1.29257E-05,8.62115E-06,-8.85766E-06
115038,G,2.21999E-05,5.28743E-06,0.0003004,1.27894E-05,8.49758E-06,-8.84484E-06
